Temperature_K,Pressure_bar,Particle_Size_um,Material,Material_Label,Diffusivity_theoretical,Diffusivity_with_noise
699.07,1.692,93.43,LaNi5H6,2,2.0689938857975028e-10,2.0871850999078798e-10
410.25,21.86,148.56,LaNi5H6,2,7.818769376754263e-12,7.707952344879287e-12
579.88,44.434,59.29,MgH2,0,3.3770909307717234e-13,3.3653894242378814e-13
380.22,46.529,112.49,TiFeH2,1,9.520417832867677e-14,9.331608212613277e-14
355.92,39.42,82.02,MgH2,0,1.0240817263215458e-16,1.0367081187267675e-16
536.87,32.806,14.74,LaNi5H6,2,5.536871938820371e-11,5.341233805381989e-11
514.17,48.029,43.51,MgH2,0,6.565707739648168e-14,6.295265643612397e-14
579.45,16.914,147.5,LaNi5H6,2,8.498079423223019e-11,8.230282860033617e-11
385.23,26.572,30.38,TiFeH2,1,1.0728047968611013e-13,1.0764697724966724e-13
556.66,15.516,89.74,LaNi5H6,2,6.68484605712078e-11,6.657325875819725e-11
413.95,11.616,170.9,LaNi5H6,2,8.176808402782581e-12,8.427397456797633e-12
632.9,14.267,27.87,MgH2,0,9.243884768065007e-13,9.876619310082061e-13
355.9,31.199,192.69,MgH2,0,1.0015974662316888e-16,1e-16
375.51,11.35,63.45,LaNi5H6,2,3.5635598055863494e-12,3.5240362841147103e-12
631.77,37.232,27.43,MgH2,0,9.62368694630997e-13,9.456046726561191e-13
416.37,17.584,58.11,MgH2,0,2.0407089794648906e-15,2.065930402672803e-15
646.04,17.068,181.47,TiFeH2,1,8.592599923530503e-12,8.268474386779297e-12
503.93,26.551,198.29,TiFeH2,1,1.3980251258193507e-12,1.4035528511944884e-12
621.6,5.064,171.43,LaNi5H6,2,1.1928496819684862e-10,1.1517714145804527e-10
375.53,19.514,141.45,TiFeH2,1,7.930393055025887e-14,7.765271964363656e-14
521.2,13.459,152.78,MgH2,0,7.314740879659262e-14,7.614027231424913e-14
394.82,24.636,156.85,TiFeH2,1,1.3868065183874474e-13,1.4182119401764062e-13
502.2,21.591,162.11,TiFeH2,1,1.346194137670702e-12,1.361485798811973e-12
613.05,25.9,89.17,MgH2,0,6.535749927286985e-13,6.92740752155725e-13
661.04,6.677,66.01,MgH2,0,1.4466227291213504e-12,1.4628127080112994e-12
501.81,25.349,103.07,MgH2,0,4.3980205934694724e-14,4.445597282194528e-14
554.67,10.217,172.19,TiFeH2,1,2.860983791297806e-12,2.6854857587558466e-12
555.39,18.245,113.59,TiFeH2,1,2.9843880193298914e-12,2.984287768782427e-12
496.86,3.38,92.9,MgH2,0,3.309136716229806e-14,3.285894113880908e-14
354.03,44.842,96.78,TiFeH2,1,4.191738791905139e-14,4.398306878122707e-14
554.83,11.601,95.26,MgH2,0,1.7300726220656924e-13,1.6586597091666613e-13
673.36,43.512,71.11,LaNi5H6,2,1.9949330875945758e-10,1.9630190148966036e-10
562.35,36.696,165.74,TiFeH2,1,3.3880220101051545e-12,3.4989712899547884e-12
544.16,19.46,66.76,TiFeH2,1,2.5655880961481595e-12,2.500525772476853e-12
346.84,3.321,166.39,MgH2,0,4.9878468604214457e-17,1e-16
544.13,6.815,88.13,TiFeH2,1,2.4254783654243005e-12,2.3962813101941043e-12
644.73,26.242,146.49,TiFeH2,1,8.678261956465009e-12,8.87870272660697e-12
385.83,20.798,151.28,MgH2,0,4.972066158415247e-16,5.020843599477503e-16
492.36,22.216,31.25,MgH2,0,3.293368143998216e-14,3.213390050328901e-14
389.58,45.58,84.94,TiFeH2,1,1.242052704385823e-13,1.2239660743899801e-13
635.33,35.931,126.95,LaNi5H6,2,1.464482239713531e-10,1.4435201870974838e-10
408.9,42.032,31.03,MgH2,0,1.5571435346065371e-15,1.6248486712063583e-15
472.93,28.443,114.68,LaNi5H6,2,2.3495437721968207e-11,2.346589128177967e-11
509.05,12.184,22.83,MgH2,0,5.205365498750035e-14,4.903267312311457e-14
558.96,17.512,86.79,LaNi5H6,2,6.890433213013524e-11,6.762895531080908e-11
620.35,43.275,168.1,MgH2,0,7.751398663472606e-13,7.261388025129474e-13
486.39,34.48,111.43,MgH2,0,2.798274374176118e-14,2.7718160416177455e-14
657.25,3.531,136.09,MgH2,0,1.2900833433247736e-12,1.3042238336615119e-12
424.95,10.459,87.51,MgH2,0,2.825686167945063e-15,2.7511296221767807e-15
512.31,12.492,135.95,MgH2,0,5.6841206945751226e-14,5.795259147521119e-14
481.96,4.388,170.44,TiFeH2,1,8.699572985249196e-13,8.973095279284632e-13
437.61,47.274,134.63,LaNi5H6,2,1.3505050858049328e-11,1.3573936468382715e-11
568.49,2.533,112.4,MgH2,0,2.144333337704848e-13,2.1642364974536195e-13
314.97,32.242,33.88,MgH2,0,6.652501807436209e-18,1e-16
489.39,25.998,22.85,LaNi5H6,2,2.982093783199906e-11,2.919626132407387e-11
577.92,6.468,28.09,MgH2,0,2.8557079551682645e-13,2.8833624137518417e-13
625.0,8.715,152.71,LaNi5H6,2,1.2601107249407515e-10,1.3011503664942755e-10
417.04,49.817,120.58,LaNi5H6,2,9.262349676288061e-12,9.065350885515498e-12
322.92,34.606,195.42,LaNi5H6,2,8.647745499553022e-13,8.671430058777048e-13
475.16,8.974,79.9,MgH2,0,1.7874827445911846e-14,1.8325231594951933e-14
355.91,24.337,46.59,MgH2,0,9.949813000895745e-17,1e-16
568.9,12.41,178.72,MgH2,0,2.410961191467539e-13,2.497062418554473e-13
577.7,28.102,135.39,MgH2,0,3.1126476425037976e-13,3.1103787666744005e-13
588.94,24.233,84.88,MgH2,0,3.9567256848953644e-13,4.071545816838527e-13
426.86,18.964,115.34,MgH2,0,3.173599340736504e-15,3.2570532868577017e-15
353.59,7.74,77.77,LaNi5H6,2,2.0079512469590054e-12,1.947227917579529e-12
302.94,44.323,47.91,MgH2,0,2.6497112088383856e-18,1e-16
487.29,31.985,48.46,TiFeH2,1,1.067222145993389e-12,1.1153914326596171e-12
624.7,40.162,190.5,TiFeH2,1,7.177076519314694e-12,7.267855806817506e-12
571.19,45.104,177.9,TiFeH2,1,3.841039940257987e-12,3.952871585451107e-12
464.02,30.082,153.9,TiFeH2,1,6.869527682840083e-13,7.230723509667574e-13
309.12,11.244,49.29,MgH2,0,3.96804703795305e-18,1e-16
379.58,8.917,176.25,LaNi5H6,2,3.86811138576373e-12,3.952280413774507e-12
582.07,5.494,50.31,MgH2,0,3.0910041324042677e-13,2.9801583465264087e-13
522.81,32.097,125.66,MgH2,0,8.098544219286103e-14,8.507582140233821e-14
693.19,5.914,142.48,TiFeH2,1,1.2677730996931324e-11,1.2584804931908696e-11
608.8,45.95,39.05,MgH2,0,6.241466374938988e-13,6.412968820442963e-13
483.57,49.021,149.36,MgH2,0,2.6085357889777324e-14,2.6050583889642776e-14
566.78,9.089,49.4,LaNi5H6,2,7.281100157082075e-11,7.82045406660099e-11
605.36,7.301,142.09,LaNi5H6,2,1.0498944693697971e-10,1.0311106499035761e-10
606.3,5.28,109.18,LaNi5H6,2,1.0443203009435436e-10,1.0562900153777568e-10
671.03,7.07,17.65,MgH2,0,1.7227757179900658e-12,1.7063694549632192e-12
578.45,45.509,143.7,LaNi5H6,2,8.778286861297724e-11,8.682793773038231e-11
531.69,14.75,197.07,MgH2,0,9.733934051323073e-14,1.0207023777752181e-13
655.22,38.739,132.31,TiFeH2,1,9.829127411800263e-12,9.588050841887085e-12
524.78,22.553,42.66,LaNi5H6,2,4.7111764633323976e-11,4.752182542386663e-11
499.35,13.484,124.9,LaNi5H6,2,3.3141222465378536e-11,3.360614227524021e-11
365.84,42.749,71.09,MgH2,0,1.8181623017405223e-16,1.9660195615565253e-16
538.5,14.866,134.51,LaNi5H6,2,5.433034986675534e-11,5.4927446337494766e-11
547.89,16.421,181.41,TiFeH2,1,2.6685966949081293e-12,2.6777072492266026e-12
542.55,2.938,53.07,TiFeH2,1,2.266976979091392e-12,2.3741172570214467e-12
640.4,46.575,149.46,TiFeH2,1,8.541700824015388e-12,8.290085419807383e-12
319.7,21.599,155.29,MgH2,0,9.144340478500565e-18,1e-16
674.46,46.021,32.59,MgH2,0,2.05736781036201e-12,2.0427609829257024e-12
361.68,36.424,51.5,LaNi5H6,2,2.661054376933497e-12,2.5767326161081226e-12
662.44,43.584,120.58,TiFeH2,1,1.0608084864194525e-11,1.0474056066769453e-11
512.52,38.473,12.36,TiFeH2,1,1.6500789939027332e-12,1.5846271602188183e-12
462.6,48.132,108.57,LaNi5H6,2,2.049671660370464e-11,1.9622494328105728e-11
669.94,12.52,64.97,MgH2,0,1.753869438829654e-12,1.8748648097939787e-12
466.32,30.441,113.05,MgH2,0,1.4350653282469393e-14,1.434065071460303e-14
432.08,41.093,73.53,TiFeH2,1,3.5790362184675377e-13,3.5064268757930346e-13
494.66,49.468,60.26,MgH2,0,3.70844086806816e-14,3.6805048950815474e-14
317.02,4.388,119.31,TiFeH2,1,9.263177530727396e-15,8.783709645756161e-15
462.55,11.664,124.34,MgH2,0,1.1830479989269602e-14,1.1854609421840663e-14
491.69,2.214,140.48,LaNi5H6,2,2.74377730315052e-11,2.6481374394539862e-11
370.67,15.115,155.31,TiFeH2,1,6.75202110525105e-14,6.527421272600646e-14
517.34,33.363,172.19,LaNi5H6,2,4.351935431926126e-11,4.280021842154648e-11
638.75,40.168,38.99,LaNi5H6,2,1.5177574855739927e-10,1.5526056164714635e-10
588.99,12.477,99.6,LaNi5H6,2,9.225497193515397e-11,8.922330651345687e-11
431.58,37.814,100.06,LaNi5H6,2,1.2025574928569176e-11,1.2028004527902617e-11
408.21,28.891,150.18,MgH2,0,1.4650473429409485e-15,1.4228791305264194e-15
324.75,17.233,145.28,LaNi5H6,2,8.913794992016325e-13,8.730454186767091e-13
412.49,15.311,157.7,MgH2,0,1.6991329275284713e-15,1.6603667587654272e-15
502.39,46.848,95.27,LaNi5H6,2,3.6456468335659584e-11,3.56897441576081e-11
328.74,13.412,90.27,TiFeH2,1,1.580540607702802e-14,1.54562932093134e-14
696.35,30.589,170.77,LaNi5H6,2,2.3113484547827767e-10,2.3803391272731726e-10
542.41,31.473,13.76,MgH2,0,1.3631666613246812e-13,1.362807002499578e-13
590.8,29.736,103.22,MgH2,0,4.166273641581907e-13,4.163492929543999e-13
669.98,2.164,16.26,TiFeH2,1,9.761510738572582e-12,9.49637877119487e-12
349.1,16.069,160.79,MgH2,0,6.395238897248208e-17,1e-16
386.37,38.923,81.68,TiFeH2,1,1.1268517518942653e-13,1.0510317248560083e-13
304.99,32.276,190.7,LaNi5H6,2,4.670090068519486e-13,4.84325679569124e-13
644.31,38.657,44.53,LaNi5H6,2,1.5855409578048655e-10,1.6240276253302126e-10
570.56,49.358,182.86,LaNi5H6,2,8.117419976479849e-11,8.153638648468268e-11
528.47,2.57,110.25,TiFeH2,1,1.8255594886143523e-12,1.7599714286793604e-12
388.02,12.808,61.9,LaNi5H6,2,4.784026533822452e-12,4.785173165796528e-12
513.09,4.211,140.37,MgH2,0,5.3894711063020225e-14,5.38580325722484e-14
341.36,38.833,121.0,MgH2,0,4.177043823010184e-17,1e-16
325.98,1.238,84.73,TiFeH2,1,1.2429293469071566e-14,1.2481165288226264e-14
386.77,37.677,108.99,TiFeH2,1,1.136449611652056e-13,1.1354014471650608e-13
572.29,30.165,172.26,MgH2,0,2.7607748232827197e-13,2.6574679432735487e-13
689.34,17.898,151.49,LaNi5H6,2,2.1513541775382365e-10,2.0466197592839927e-10
406.59,22.481,199.74,MgH2,0,1.3361976128520411e-15,1.3356598285781373e-15
538.42,19.262,182.35,MgH2,0,1.1813041524727713e-13,1.1748365178143198e-13
600.53,47.513,140.31,LaNi5H6,2,1.0894803666459813e-10,1.1105339756420237e-10
506.27,35.558,116.47,TiFeH2,1,1.4792133289660398e-12,1.4804703679328272e-12
556.62,31.721,161.76,TiFeH2,1,3.1149100174862117e-12,3.0731322906376293e-12
599.74,34.322,30.09,TiFeH2,1,5.414481118696823e-12,5.164212783528421e-12
675.4,27.005,19.57,TiFeH2,1,1.1750670016412479e-11,1.1562496218121393e-11
363.04,42.968,16.36,LaNi5H6,2,2.778041251442035e-12,2.661558213934547e-12
667.56,20.4,10.58,LaNi5H6,2,1.852710529661328e-10,1.858134891521452e-10
487.33,17.612,25.66,TiFeH2,1,1.0371882609903822e-12,1.100396593118848e-12
304.92,2.462,175.84,MgH2,0,2.537148592942222e-18,1e-16
312.86,15.547,146.16,TiFeH2,1,8.295846144818287e-15,8.144007555040149e-15
687.78,17.018,161.91,TiFeH2,1,1.2768946048529634e-11,1.245752140474504e-11
654.28,16.414,158.48,TiFeH2,1,9.317511949799619e-12,9.350210891651857e-12
420.11,4.282,163.42,TiFeH2,1,2.4019203462214103e-13,2.379165310463855e-13
421.28,31.818,126.71,TiFeH2,1,2.7471932911356477e-13,2.724908343014173e-13
